f_prop,hsev,ys,cat_1,cat_2,cat_3,cat_4,cat_5,cat_2345,cat_1_int,cat_2_int,cat_3_int,cat_4_int,cat_5_int,cat_2345_int,se2,se3,se4,se5,flower_year,idx
0.0044247787610619,-4.0,-2,1,0,0,0,-1,-1,5,0,0,0,-7,-7,2,3,4,5,2018,181
-0.012577453510625499,1.0,-8,-1,1,0,0,0,1,-13,5,0,0,0,5,2,3,4,5,2018,183
0.0011290864906999005,1.0,-7,-1,1,0,0,0,1,-12,5,0,0,0,5,2,3,4,5,2018,184
0.002044837406450801,1.0,-4,-1,1,0,0,0,1,-9,5,0,0,0,5,2,3,4,5,2018,185
-0.024191622842885,1.0,-2,-1,1,0,0,0,1,-7,5,0,0,0,5,2,3,4,5,2018,187
-0.009766322701156599,0.0,-8,0,0,0,0,0,0,0,-8,0,0,0,-8,2,3,4,5,2018,188
0.0027331946707252006,0.0,-7,0,0,0,0,0,0,0,-7,0,0,0,-7,2,3,4,5,2018,189
-0.015394594506665298,0.0,-4,0,0,0,0,0,0,0,-4,0,0,0,-4,2,3,4,5,2018,190
0.0049060282506401005,-1.0,-8,0,1,-1,0,0,0,0,5,-13,0,0,-8,2,3,4,5,2018,193
0.0031546033467252012,-1.0,-7,0,1,-1,0,0,0,0,5,-12,0,0,-7,2,3,4,5,2018,194
0.0079972183588317,-2.0,-7,0,1,0,-1,0,0,0,5,0,-12,0,-7,2,3,4,5,2018,196
-0.0069281547754966,-2.0,-2,0,1,0,-1,0,0,0,5,0,-7,0,-2,2,3,4,5,2018,197
0.0079972183588317,-3.0,-2,0,1,0,0,-1,0,0,5,0,0,-7,-2,2,3,4,5,2018,198
-0.0127417736971335,2.0,-8,-1,0,1,0,0,1,-13,0,5,0,0,5,2,3,4,5,2018,200
0.0009647663041918997,2.0,-7,-1,0,1,0,0,1,-12,0,5,0,0,5,2,3,4,5,2018,201
0.0018805172199428,2.0,-4,-1,0,1,0,0,1,-9,0,5,0,0,5,2,3,4,5,2018,202
-0.0075221882000371006,2.0,-2,-1,0,1,0,0,1,-7,0,5,0,0,5,2,3,4,5,2018,203
-0.024355943029393,2.0,-2,-1,0,1,0,0,1,-7,0,5,0,0,5,2,3,4,5,2018,204
-0.0099306428876646,1.0,-8,0,-1,1,0,0,0,0,-13,5,0,0,-8,2,3,4,5,2018,205
0.0025688744842172,1.0,-7,0,-1,1,0,0,0,0,-12,5,0,0,-7,2,3,4,5,2018,206
-0.015558914693173298,1.0,-4,0,-1,1,0,0,0,0,-9,5,0,0,-4,2,3,4,5,2018,207
-0.0042122069019971,1.0,-2,0,-1,1,0,0,0,0,-7,5,0,0,-2,2,3,4,5,2018,208
0.0047417080641321,0.0,-8,0,0,0,0,0,0,0,0,-8,0,0,-8,2,3,4,5,2018,210
